"id","state","dlsubrecip_2006","dlsubdisburse_2006","dlsubrecip_2008","dlsubdisburse_2008","dlsubrecip_2009","dlsubdisburse_2009","dlsubrecip_2010","dlsubdisburse_2010","dlsubrecip_2011","dlsubdisburse_2011","dlsubrecip_2012","dlsubdisburse_2012","dlsubrecip_2013","dlsubdisburse_2013","dlsubrecip_2014","dlsubdisburse_2014","dlsubrecip_2015","dlsubdisburse_2015","dlsubrecip_2007","dlsubdisburse_2007","dlunsubrecip_2006","dlunsubdisburse_2006","dlunsubrecip_2008","dlunsubdisburse_2008","dlunsubrecip_2009","dlunsubdisburse_2009","dlunsubrecip_2010","dlunsubdisburse_2010","dlunsubgradrecip_2010","dlunsubrecip_2011","dlunsubdisburse_2011","dlunsubgradrecip_2011","dlunsubrecip_2012","dlunsubdisburse_2012","dlunsubgradrecip_2012","dlunsubrecip_2013","dlunsubdisburse_2013","dlunsubgradrecip_2013","dlunsubrecip_2014","dlunsubdisburse_2014","dlunsubgradrecip_2014","dlunsubrecip_2015","dlunsubdisburse_2015","dlunsubgradrecip_2015","dlunsubrecip_2007","dlunsubdisburse_2007","flparentrecip_2006","flparentdisburse_2006","flparentrecip_2008","flparentdisburse_2008","flparentrecip_2009","flparentdisburse_2009","flparentrecip_2007","flparentdisburse_2007","flgradrecip_2006","flgraddisburse_2006","flgradrecip_2008","flgraddisburse_2008","flgradrecip_2009","flgraddisburse_2009","flgradrecip_2007","flgraddisburse_2007","fedloanperc_2014","fedloanperc_2013","fedloanperc_2012","fedloanperc_2011","fedloanperc_2010","fedloanperc_2008","fedloanperc_2007","fedloanperc_2006","flsubrecip_2006","flsubdisburse_2006","flsubrecip_2008","flsubdisburse_2008","flsubrecip_2009","flsubdisburse_2009","flsubrecip_2007","flsubdisburse_2007","flunsubrecip_2006","flunsubdisburse_2006","flunsubrecip_2008","flunsubdisburse_2008","flunsubrecip_2009","flunsubdisburse_2009","flunsubrecip_2007","flunsubdisburse_2007","dlgradrecip_2006","dlgraddisburse_2006","dlgradrecip_2008","dlgraddisburse_2008","dlgradrecip_2009","dlgraddisburse_2009","dlgradrecip_2010","dlgraddisburse_2010","dlgradrecip_2011","dlgraddisburse_2011","dlgradrecip_2012","dlgraddisburse_2012","dlgradrecip_2013","dlgraddisburse_2013","dlgradrecip_2014","dlgraddisburse_2014","dlgradrecip_2015","dlgraddisburse_2015","dlgradrecip_2007","dlgraddisburse_2007","dlparentrecip_2006","dlparentdisburse_2006","dlparentrecip_2008","dlparentdisburse_2008","dlparentrecip_2009","dlparentdisburse_2009","dlparentrecip_2010","dlparentdisburse_2010","dlparentrecip_2011","dlparentdisburse_2011","dlparentrecip_2012","dlparentdisburse_2012","dlparentrecip_2013","dlparentdisburse_2013","dlparentrecip_2014","dlparentdisburse_2014","dlparentrecip_2015","dlparentdisburse_2015","dlparentrecip_2007","dlparentdisburse_2007","perkrecip_2006","perkrecip_2007","perkrecip_2008","perkrecip_2009","perkrecip_2010","perkrecip_2011","perkrecip_2012","perkrecip_2013","perkrecip_2014","cdr3_2014","cdr3_2013","cdr3_2012","cdr3_2011","cdr3_2010","cdr3_2009","cdr3_2008","cdr3_2007","cdr3_2006","perkdisburse_2006","perkdisburse_2007","perkdisburse_2008","perkdisburse_2009","perkdisburse_2010","perkdisburse_2011","perkdisburse_2012","perkdisburse_2013","perkdisburse_2014","avefedloan_2014","avefedloan_2013","avefedloan_2012","avefedloan_2011","avefedloan_2010","avefedloan_2008","avefedloan_2007","avefedloan_2006","aveotherloan_2014","aveotherloan_2013","aveotherloan_2012","aveotherloan_2011","aveotherloan_2010","aveotherloan_2008","aveotherloan_2007","aveotherloan_2006","otherloanperc_2014","otherloanperc_2013","otherloanperc_2012","otherloanperc_2011","otherloanperc_2010","otherloanperc_2008","otherloanperc_2007","otherloanperc_2006"
"25","MO",24631,98198877,26302,112085727,57641,248792348,230446,908972101,232045,911107525,155861,573026741,147062,546204137,134255,499097265,123222,460969451,23798,102300228,19734,88607582,26747,130086035,56726,315966069,189404,1118764511,36297,192031,1117177502,35249,188875,1372061682,39920,180088,1310617015,38694,168845,1216944090,37986,160097,1207219607,38140,18148,89102937,11590,104017388,8752,78840142,7320,64124152,10726,95724277,3595,60768385,5342,101447330,3913,77504118,4606,79391848,0.52391782558443,0.492853899936439,0.512533977650257,0.536847954434952,0.528920002718684,0.52391782558443,0.52391782558443,0.52391782558443,126273,548400445,143738,678825962,136569,607136261,134925,616966667,102084,571385294,135777,872400994,130032,748751788,108482,645784494,141,998412,449,4145483,3273,42059171,7732,148224309,7800,150954604,7469,147015391,7425,140234762,7851,152439333,8671,172661419,299,2406538,6108,52643451,6253,56709931,8007,73380338,17627,165424643,17887,178300653,14759,159944088,14814,168522163,14405,170250058,16723,193377754,5847,52551133,15826,14251,0,0,11109,12048,12111,12981,NA,0.129553672316384,0.129553672316384,0.129553672316384,0.129553672316384,0.129553672316384,0.129553672316384,0.129553672316384,0.129553672316384,NA,31540464,28321825,0,0,23032154,23609054,24990694,27591361,NA,3206.92379105924,2959.46090983383,3063.16639721428,3094.60469194971,3125.99748521715,3206.92379105924,3206.92379105924,3206.92379105924,360.335315610902,347.193716516844,267.618562012543,262.410832117802,244.695779242846,360.335315610902,360.335315610902,360.335315610902,0.0535401364602364,0.038608916734768,0.0340753637607263,0.0343995276793777,0.0411031060966492,0.0535401364602364,0.0535401364602364,0.0535401364602364
"26","MS",2916,12257968,3298,13989079,10784,38267824,82478,326019356,84308,321052701,63818,227432732,60139,214957089,57955,209558674,54586,198198622,3080,13636075,1889,8212055,2770,12447132,10416,42308517,71278,345545148,10080,73334,363902810,10461,70465,445669125,12267,68610,446346492,12483,67185,437848078,12281,65139,419191784,12412,2009,9127333,3058,24162206,2782,23826745,2737,24740310,3158,26417083,322,3263083,728,11677818,800,11050270,547,7787873,0.371896290077815,0.410511230879467,0.422287209481299,0.402220739032826,0.398467544575224,0.371896290077815,0.371896290077815,0.371896290077815,55850,212606439,62183,262112290,64757,266362781,57678,238368526,44479,199085143,55620,286078441,59142,291242432,44797,213285332,0,0,0,0,240,4105001,1422,23846477,1490,29125468,1500,31632660,1740,35682290,1867,37224306,2156,43232562,0,0,344,1481325,270,1241930,429,1838572,5484,46425010,6020,56714694,3632,42169617,4256,50908198,4697,57933995,7303,84146790,297,1269503,5658,4757,0,0,3003,3266,2867,3909,NA,0.15492,0.15492,0.15492,0.15492,0.15492,0.15492,0.15492,0.15492,NA,15898777,13149832,0,0,6751221,8375909,7182443,10255399,NA,1873.79371024507,2348.89934265865,2391.23032168693,2139.49866512954,2131.83684885212,1873.79371024507,1873.79371024507,1873.79371024507,54.4644344709567,160.15978690925,142.115222410343,89.3523147867241,53.680398554947,54.4644344709567,54.4644344709567,54.4644344709567,0.00929902166542895,0.0149225832580454,0.0141603817146375,0.0099205145318852,0.00713786271996271,0.00929902166542895,0.00929902166542895,0.00929902166542895
"27","MT",NA,NA,81,264400,1424,4025170,26679,106672097,26653,106016424,23346,85849403,21483,78525337,19233,70132014,17684,64641093,2,2970,NA,NA,80,372743,1396,4374185,24312,106812056,1903,24401,108607597,1841,24206,122175099,2117,22718,115110316,2088,20993,106940212,2012,19640,101265209,1923,1,2112,2659,24607625,2243,20356407,2546,23857787,2444,22243089,198,1708770,262,2882280,280,2877323,234,2089401,0.487686664920094,0.513736931680039,0.529020556227328,0.545476021733995,0.558155383916402,0.487686664920094,0.487686664920094,0.487686664920094,20358,73859031,20405,82087952,23029,93051859,19918,79626460,14597,58183598,18626,84939771,21568,99131895,14155,59407187,NA,NA,0,0,43,546420,387,4681575,413,5313698,429,5227101,423,5217969,443,5906189,485,7061583,0,0,NA,NA,7,49352,89,447835,3196,31771590,3305,35769886,2999,34595636,3184,37936744,3025,37576725,3045,37947120,1,7000,3717,4146,0,0,3270,3434,3672,3880,NA,0.116791666666667,0.116791666666667,0.116791666666667,0.116791666666667,0.116791666666667,0.116791666666667,0.116791666666667,0.116791666666667,NA,6435313,7540429,0,0,5034915,5196857,4687088,5555646,NA,2563.17408959916,2976.76805251641,3087.69250302297,3093.9297188755,3131.93786915039,2563.17408959916,2563.17408959916,2563.17408959916,115.952449567723,286.475200583516,215.154534461911,197.285849279471,205.100749659246,115.952449567723,115.952449567723,115.952449567723,0.0138852501964894,0.024556284950158,0.0197097944377267,0.0185447673045122,0.0214675147660154,0.0138852501964894,0.0138852501964894,0.0138852501964894
"28","NC",27310,101203833,30083,121097388,49889,194159832,199934,768737268,221244,854498566,177387,654528646,172409,646575160,163336,619000209,151417,575721513,27101,111018626,19993,83261033,27950,127777008,48612,220704653,170865,846397073,25900,191409,950368736,27121,201820,1208542312,31535,197817,1210169777,31854,191130,1198332290,31324,183732,1159500946,31186,20214,88750040,16790,171415673,14733,155107279,13426,142100573,15681,165321618,2334,41139930,4112,81582090,4788,100548028,3229,59590132,0.386766240631057,0.472932205348088,0.478635963962127,0.483910971025538,0.455669428146954,0.386766240631057,0.386766240631057,0.386766240631057,96479,394542395,105432,466872035,113406,495652297,101993,443471104,80464,402411688,106882,599439227,114956,630947541,84124,450537292,248,1373518,633,4777908,1590,20228913,7225,148948300,7672,163206227,8031,179182654,9124,203205493,9607,216748762,10163,229795806,538,4106482,7216,60931365,4609,41583219,6871,63937535,25498,262474408,26757,288492598,19112,230767505,20037,253388790,21870,283091648,27852,337046228,6223,54759913,14340,14225,0,0,8361,10004,7633,11494,NA,0.166823170731707,0.166823170731707,0.166823170731707,0.166823170731707,0.166823170731707,0.166823170731707,0.166823170731707,0.166823170731707,NA,35274166,35881046,0,0,22328194,25506170,21468354,32163005,NA,2161.12565565661,2928.22267866542,2927.08707453519,2794.55786495808,2592.86661798404,2161.12565565661,2161.12565565661,2161.12565565661,381.775619739499,402.812175051671,373.179909013291,352.512885432679,260.780840027195,381.775619739499,381.775619739499,381.775619739499,0.0541331779184343,0.036124626108836,0.03831891223733,0.0403420614108741,0.0359202276332687,0.0541331779184343,0.0541331779184343,0.0541331779184343
"29","ND",NA,NA,16,54125,1165,3169216,28169,90881031,28264,93520410,18646,68355904,17080,63401640,15742,58576675,14838,54689387,NA,NA,NA,NA,4,12900,915,2693677,25316,119562246,2465,25282,118154204,2584,24303,131165869,3101,23214,130301954,3123,22299,126859998,2899,21999,128383466,2944,NA,NA,1454,10254745,927,6375501,726,5076944,1217,8624174,117,1218039,146,1663013,100,1152821,150,1631887,0.609501609501609,0.563605051664753,0.590883947339307,0.616493017069386,0.610871726881008,0.609501609501609,0.609501609501609,0.609501609501609,21883,77899854,21857,88838556,22829,91202807,21705,87611999,18525,75984706,25582,124283516,26729,132626600,18684,86128353,NA,NA,0,0,27,212164,194,2523326,209,2687857,161,2057582,232,2596079,198,2560956,204,2949698,NA,NA,NA,NA,0,0,16,88132,932,6674895,943,7733401,820,7533886,792,7870078,817,7787460,967,8915883,NA,NA,4543,3909,0,0,2854,2482,2521,2871,NA,0.116625,0.116625,0.116625,0.116625,0.116625,0.116625,0.116625,0.116625,NA,8322576,7226745,0,0,5147803,4039230,4308464,5530756,NA,3355.09657009657,3160.8579793341,3417.83504812479,3411.06351141654,3358.78289691747,3355.09657009657,3355.09657009657,3355.09657009657,1034.52514152514,1360.53076923077,1246.92897444408,1069.89547772113,994.079770191139,1034.52514152514,1034.52514152514,1034.52514152514,0.158064158064158,0.159242250287026,0.149020909392632,0.134005763688761,0.135012705778367,0.158064158064158,0.158064158064158,0.158064158064158
"30","NE",6777,23042207,8692,36790489,16052,68005791,65900,240965351,67039,245962175,45370,163989138,41873,152121247,38709,142558938,36414,133909492,7088,25680048,5583,18850612,9521,42453455,16763,82653654,55830,305970550,8812,56603,306790215,9247,56062,376095066,10928,53189,362769322,11032,51060,372059235,11168,48847,349231805,11011,5894,21182455,4934,39161965,3375,26453261,3031,24973014,4283,34074036,1290,22591862,1621,32301564,1512,27083240,1558,28915750,0.54307976904535,0.538407780560247,0.558299619588189,0.571224392567889,0.544094715564539,0.54307976904535,0.54307976904535,0.54307976904535,35880,143058303,36921,158912428,37691,154133690,36989,160977458,29656,165208430,37850,225337977,38499,215853725,30672,182333433,128,708929,207,1411122,743,11799921,2475,47327314,2991,54219787,2960,53346583,2951,56814490,3004,68260945,2854,62579132,121,668353,3384,26952818,3253,26774550,3648,30570628,6947,62502420,7407,69484900,6794,69539496,6794,73125066,7063,77704352,7345,82307986,3246,25773253,8374,7504,0,0,4505,4849,5364,5823,NA,0.0830869565217391,0.0830869565217391,0.0830869565217391,0.0830869565217391,0.0830869565217391,0.0830869565217391,0.0830869565217391,0.0830869565217391,NA,16923947,13369433,0,0,8252730,8579484,8666586,10406009,NA,2842.83917259936,2942.4434220488,3025.41996256265,3052.19080514531,2741.36043892579,2842.83917259936,2842.83917259936,2842.83917259936,376.770727058692,303.939607477724,308.89964374132,224.354752262982,232.133294831071,376.770727058692,376.770727058692,376.770727058692,0.0378945008128258,0.0297594781899715,0.0321236640299499,0.0253096712720343,0.0275483684666474,0.0378945008128258,0.0378945008128258,0.0378945008128258
"31","NH",3855,10481056,1976,7548658,11437,45330503,48567,183460561,54586,209007111,43040,167610863,51568,197156366,53296,158218508,75000,223096922,1158,3942941,2626,7491354,1943,8014410,11635,50163636,43025,195136979,5259,47711,239909675,6949,54311,347131757,9486,66572,444868428,13102,68453,316804377,11999,100637,557028408,20996,639,2241728,5205,67054344,5045,66394066,4334,57751139,4972,65490305,507,9847108,587,12375058,580,12865762,479,9274566,0.671579574214679,0.707573792998246,0.707575989002597,0.719510317215892,0.698697990376451,0.671579574214679,0.671579574214679,0.671579574214679,28416,110023286,32920,140691057,29732,123519542,32001,137764967,17645,80914834,34914,156649786,31559,140584023,20294,101545519,0,0,27,387817,201,3887135,919,21036315,873,20365113,804,19958118,978,21624523,909,17798483,1283,21197455,0,0,471,5686947,301,4529246,1904,24191456,6546,86584773,6619,94035117,5585,84001013,5503,84335015,5251,84320906,5478,85814779,268,3977394,6681,5249,0,0,5330,5211,5187,5312,NA,0.101690476190476,0.101690476190476,0.101690476190476,0.101690476190476,0.101690476190476,0.101690476190476,0.101690476190476,0.101690476190476,NA,13856107,10886459,0,0,10168916,9508373,9868312,11024395,NA,4078.06148578234,4280.60872549767,4297.38658927753,4302.34932245149,4361.43942824795,4078.06148578234,4078.06148578234,4078.06148578234,1380.33750186095,1705.42605445809,1518.2996792424,1297.36572220511,1021.74745258987,1380.33750186095,1380.33750186095,1380.33750186095,0.123046002679768,0.146899549996186,0.141667939514281,0.111487526947952,0.0986413812623832,0.123046002679768,0.123046002679768,0.123046002679768
"32","NJ",38119,151304848,58839,240902338,87800,358954634,177473,668365938,184531,701190657,141858,532853719,137999,521390332,134119,507606299,130113,501314262,45634,194173678,24770,116127314,57437,257612552,88799,399607747,157676,732301558,18773,163853,774652531,19568,161891,896363370,20606,159228,915268761,20645,157406,907016025,20716,153809,886005197,20846,29850,146776515,9165,102808448,5680,65027759,5074,63029787,7111,82184789,631,8072460,1422,24240548,1715,31889875,979,14289622,0.46552833393381,0.457184892002031,0.466811467151661,0.491910206464221,0.48926391130447,0.46552833393381,0.46552833393381,0.46552833393381,72146,264914485,71829,305192083,62453,265691221,71896,291857115,52346,254294754,68386,359372896,62163,318610626,50707,269582180,34,313850,403,4789112,1360,20272065,3827,68695765,4231,78458246,3865,70560262,3925,74848435,3947,73072831,4181,76751235,128,1601701,3220,30554039,4079,35726303,7690,73013782,15566,169890766,16490,202983731,13641,184976574,13793,192145052,14585,202923954,17731,241799333,3598,33561995,13435,10688,0,0,8823,10090,9755,10366,NA,0.100143884892086,0.100143884892086,0.100143884892086,0.100143884892086,0.100143884892086,0.100143884892086,0.100143884892086,0.100143884892086,NA,27313749,20073248,0,0,15052070,17310913,16147117,16792395,NA,2709.63851716506,2979.59963284596,3015.3588391537,3251.32560943111,3160.57435735504,2709.63851716506,2709.63851716506,2709.63851716506,836.396494930259,761.39518533467,814.616313606448,839.418892681751,814.245982738053,836.396494930259,836.396494930259,836.396494930259,0.0827757475938031,0.0953298527477964,0.0953328012351656,0.108942552948492,0.110156012443571,0.0827757475938031,0.0827757475938031,0.0827757475938031
"33","NM",520,1765690,162,1018443,3468,10165604,42654,176107042,44171,185831654,37509,130222896,32429,113873633,27814,98811260,24285,87626701,190,968041,470,2013505,146,1150741,2992,8929914,36402,179441072,5264,37429,188941676,5730,36825,226718758,6651,30415,199424916,6480,27184,182906945,6155,24860,174020890,5954,153,1137543,902,8144546,685,6569785,530,4895890,861,7710380,45,267301,226,1653936,211,1454944,93,541974,0.335973559746994,0.364250709311323,0.397646469704557,0.455189723903735,0.412629033758021,0.335973559746994,0.335973559746994,0.335973559746994,30310,114971760,33369,138131093,36562,151414102,30672,128328541,21390,96346330,28035,139468409,31763,162850715,21718,101502241,0,0,0,0,111,695015,511,4235214,450,4287058,456,4776346,463,5057569,490,5715718,540,6431480,0,0,64,264491,1,4000,78,250701,799,6918483,802,7273288,615,6280638,624,6135805,655,6754659,863,8253502,10,28933,3800,2743,0,0,1368,2194,1935,2779,NA,0.16036170212766,0.16036170212766,0.16036170212766,0.16036170212766,0.16036170212766,0.16036170212766,0.16036170212766,0.16036170212766,NA,8850717,7561856,0,0,3171069,4059318,3733046,7020704,NA,1975.35335346743,2274.11101367036,2423.89494241362,2789.34253654215,2584.98312098949,1975.35335346743,1975.35335346743,1975.35335346743,67.7829505954755,91.6122775341759,103.861992989484,70.2070475909247,58.930391518646,67.7829505954755,67.7829505954755,67.7829505954755,0.00837654567211807,0.0116584988393087,0.00981472208312469,0.00920320881933166,0.00790477076164791,0.00837654567211807,0.00837654567211807,0.00837654567211807
"34","NV",7315,33209288,10211,47630056,14082,63822266,31565,131553637,30460,128423353,25408,95468438,28917,106184806,30228,107694023,26595,94702684,8060,38264465,5895,37587325,9062,61187475,13274,85822127,27395,164092561,3588,26465,154752064,3429,27118,191793080,4328,30104,216399622,4388,31711,217832062,4326,25644,190423633,4312,6562,43633018,591,6893327,795,11867957,728,9817719,645,8201263,217,5774595,361,10931894,364,8658601,301,8294509,0.390540342656319,0.502609343936382,0.462752317706621,0.61015593762495,0.542364249793112,0.390540342656319,0.390540342656319,0.390540342656319,9368,33845625,12353,52973300,14256,56767159,10365,43924151,8034,41094865,12194,80235887,14287,80291665,8685,51905976,316,2983669,566,4812041,971,14667790,1355,32323686,1323,35418360,1570,43992367,1620,50188438,1582,58198469,1616,61041725,393,4052526,1064,11603599,1181,12777156,1387,15883547,2220,26949665,1556,19679082,1324,18507898,1530,22390903,1865,27316009,2333,33702908,1026,11269849,804,365,0,0,396,595,627,480,NA,0.158837209302326,0.158837209302326,0.158837209302326,0.158837209302326,0.158837209302326,0.158837209302326,0.158837209302326,0.158837209302326,NA,1970787,637667,0,0,753388,1308875,1406959,1216848,NA,2581.56333284522,3451.32567097415,3091.70175553948,3918.22737571638,3345.96314214781,2581.56333284522,2581.56333284522,2581.56333284522,277.758383365061,211.004411033797,190.622986389638,153.049047047848,156.202750015914,277.758383365061,277.758383365061,277.758383365061,0.0373407526724264,0.0304423459244533,0.0280754816227234,0.0254564840730375,0.0295372079699535,0.0373407526724264,0.0373407526724264,0.0373407526724264
"35","NY",113652,459953789,140039,601865823,248348,1085172945,599419,2434989860,597492,2415711038,409754,1554917168,397415,1508906346,382024,1455208863,361556,1384692006,115753,513211047,71872,343817995,116074,575874193,226283,1154168754,492955,2658297715,93700,494848,2677230666,92102,487842,3358272143,97472,474008,3312138888,92760,455596,3177718812,89268,438008,3050082921,88013,73202,388571167,47077,654043656,37133,545329181,33831,514943718,41601,594804615,11481,229832443,21017,488591532,21333,543414661,16633,361690641,0.464731804120703,0.450171450436352,0.458248642902491,0.488383271911553,0.487127298529968,0.464731804120703,0.464731804120703,0.464731804120703,308632,1365105693,311906,1529257640,268878,1260518490,314137,1501009334,220519,1304922500,299081,1819887721,268581,1540546914,220938,1436212202,1186,18187100,4311,79846197,12575,229445671,35918,865962030,36216,890270091,34107,873454927,33676,923376832,33393,915458913,33766,903552571,2478,43241404,11440,126951131,13999,162553505,27906,348892868,71047,1021219200,71048,1083087498,62775,1028328707,63035,1071628527,64270,1104641115,68513,1171975089,10439,124385555,71697,65155,0,0,42590,46704,49765,55958,NA,0.0889598930481283,0.0889598930481283,0.0889598930481283,0.0889598930481283,0.0889598930481283,0.0889598930481283,0.0889598930481283,0.0889598930481283,NA,157996522,139712945,0,0,83152784,97985353,105359756,124215521,NA,2415.60983676725,2633.49130483839,2626.83366881407,2757.67874680717,2708.65425067573,2415.60983676725,2415.60983676725,2415.60983676725,592.391354890173,566.585143905538,519.902982907707,469.932410907,377.806729750295,592.391354890173,592.391354890173,592.391354890173,0.0557938870406039,0.0484770589995536,0.0451201086662303,0.0460521975173662,0.0397875012254158,0.0557938870406039,0.0557938870406039,0.0557938870406039
"36","OH",92987,372139361,119984,520919626,212550,861676005,438646,1727022495,409292,1562734152,329152,1192299360,299903,1097690425,269405,988321365,242410,899171204,97283,430387238,58521,282463206,108908,571063568,200220,981947070,393908,1969529727,39562,366704,1806554700,38794,366393,2141517155,42957,337423,2033270339,41992,310816,1877836179,40701,288466,1785692471,39842,63076,345502388,18809,200117334,16181,174722474,17575,193831453,17358,187748194,3224,39177662,4959,71609968,5307,78987196,4491,57790166,0.594051432718005,0.630398015559815,0.644497308815695,0.65860539389638,0.645591894192366,0.594051432718005,0.594051432718005,0.594051432718005,195007,739854423,220309,926206158,206869,809867792,208851,877098165,148290,706282896,205763,1092587478,202281,995233528,156934,801216928,672,8719462,2251,32420575,4279,61779199,10470,165907097,10168,174174319,10870,182612439,11033,177975634,11079,185379611,11687,199982774,1481,21647862,15544,179327371,14604,167888015,20841,232727939,44457,505648048,44229,533605266,35748,465043590,35641,480520379,35731,486185484,39981,533722518,13658,160080241,37174,36422,0,0,19186,21058,21847,25472,NA,0.130389937106918,0.130389937106918,0.130389937106918,0.130389937106918,0.130389937106918,0.130389937106918,0.130389937106918,0.130389937106918,NA,69845227,64792068,0,0,30764854,37183208,37341323,47744218,NA,3329.77150846888,3812.86910399519,3967.11088046733,3855.56139992903,3845.30586656191,3329.77150846888,3329.77150846888,3329.77150846888,659.964390010796,616.129495997294,587.74368536106,519.811559616749,422.237396058404,659.964390010796,659.964390010796,659.964390010796,0.0769632395886798,0.059551997594618,0.0595642669507871,0.0540809084457062,0.0533457735873764,0.0769632395886798,0.0769632395886798,0.0769632395886798
"37","OK",8724,36287906,13345,52654826,23411,89477185,93511,375707981,95493,381892220,79412,277919631,74553,263249061,70452,249401818,67674,240804036,8208,36256572,6516,30957823,10812,51533487,19288,101869672,81730,425419143,10202,83922,425491613,10197,81703,496710349,11883,79867,496223837,11798,76619,485455658,11414,75985,467616784,11098,5598,28137781,5022,47811390,4230,42777082,4026,42083878,4854,49447206,589,6934616,1523,26181560,1508,24524465,1268,18901125,0.408101651308708,0.411128121205722,0.437895989035144,0.458546671918078,0.43842927945101,0.408101651308708,0.408101651308708,0.408101651308708,66089,244285302,63026,266618973,65324,265569232,65993,271709907,50263,236517392,55933,313307786,59596,312544681,50342,266305979,7,24709,26,160136,606,8932295,1943,40281948,1763,34202715,1710,32917570,1749,35434178,1697,35062182,1622,30929268,11,54412,2669,27882255,1994,19667127,2861,28841976,7788,84443446,7708,91507767,6552,82521078,6921,91749347,7544,103571788,9340,124541186,2087,22297235,6235,5483,0,0,3288,3186,3774,4348,NA,0.164527472527473,0.164527472527473,0.164527472527473,0.164527472527473,0.164527472527473,0.164527472527473,0.164527472527473,0.164527472527473,NA,19577368,17107830,0,0,9690480,8850758,11383124,14130049,NA,2332.26993252999,2422.33286702212,2569.44286120665,2627.17386274124,2517.72817384674,2332.26993252999,2332.26993252999,2332.26993252999,206.830957444016,207.967534181492,219.087874007603,137.140434226073,144.923822912695,206.830957444016,206.830957444016,206.830957444016,0.0306371583838702,0.0255503352161748,0.029920608239158,0.0167388735722725,0.0192289363324438,0.0306371583838702,0.0306371583838702,0.0306371583838702
"38","OR",28868,120202601,35465,163164691,60919,256777942,140470,565137371,144075,588149255,114318,422295599,104686,386953405,91812,339921895,80665,299535978,30149,135936127,21420,112774371,33650,200807698,59447,315447397,124592,691734958,14536,128130,708806198,14601,122641,792631976,17037,115255,798025755,20061,104384,759121745,20042,93516,674470331,18415,22245,131377135,4496,54476296,4077,49086149,3265,36730829,4416,54185416,1050,10706141,2523,37175555,2413,32162222,1849,23780770,0.51318618770554,0.542236047846536,0.58115523465704,0.592734831935734,0.596577971504782,0.51318618770554,0.51318618770554,0.51318618770554,51554,202240606,63596,277449382,67577,264916302,55289,238141401,41294,211749840,58994,355022718,64247,339647287,43815,239575321,594,5294728,1481,20253848,2785,39441879,5441,84999268,5543,94653122,5671,102886745,5710,110257499,5840,116353336,6235,128373192,1058,11056349,6690,66541278,6078,65168845,8351,101407226,12678,163217836,12410,169781212,10755,159292726,10155,166123310,9904,166742239,10353,177505582,6095,63586306,16401,14409,0,0,9634,8567,10059,11316,NA,0.117662921348315,0.117662921348315,0.117662921348315,0.117662921348315,0.117662921348315,0.117662921348315,0.117662921348315,0.117662921348315,NA,32100485,31511878,0,0,14376459,13857756,16300169,20493829,NA,2888.28769289147,3216.32248268711,3521.89184115523,3585.21439644845,3647.18408041116,2888.28769289147,2888.28769289147,2888.28769289147,368.9464963319,442.494982039033,368.486823104693,297.602106969206,296.215242990046,368.9464963319,368.9464963319,368.9464963319,0.0452188211484948,0.0391437988371662,0.0372924187725632,0.0318511732788387,0.0359443107149828,0.0452188211484948,0.0452188211484948,0.0452188211484948
